id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
4483,0,0,0,0,post,156,0,NA,29,1,1,2
2373,0,0,0,0,post,487,0,NA,24,1,1,2
4782,8,10,1,1,post,726,1,NA,21,1,1,2
133,3,4,1,1,post,273,1,NA,2,0,1,1
4021,5,45,1,1,post,195,0,NA,28,1,0,1
4495,0,0,0,0,post,265,0,NA,29,1,0,1
98,1,4,1,1,post,306,0,NA,2,1,0,1
395,0,0,0,0,post,335,0,NA,2,1,0,1
397,12,54,1,1,post,485,0,NA,2,1,0,1
3806,6,0,0,1,post,603,0,NA,27,1,0,1
4060,0,0,0,0,post,55,0,NA,25,1,1,2
1827,0,0,0,0,post,150,1,NA,19,1,1,2
2257,0,0,0,0,post,187,0,NA,24,1,1,2
375,4,0,0,1,post,807,1,NA,2,1,1,2
2734,0,0,0,0,post,58,0,NA,31,1,0,1
1615,0,0,0,0,post,180,0,NA,16,1,0,1
1074,0,0,0,0,post,316,0,NA,3,1,1,2
4912,0,0,0,0,post,549,1,NA,21,1,1,2
1140,1,4,1,1,post,574,0,NA,2,1,1,2
75,160,2535,1,1,post,840,0,NA,2,1,1,2
4554,0,0,0,0,post,128,0,NA,29,1,0,1
3824,1,0,0,1,post,255,0,Armed Groups,20,1,0,1
5050,0,0,0,0,post,690,0,NA,23,1,0,1
2803,0,0,0,0,post,340,0,NA,13,1,0,1
325,1,0,0,1,post,257,1,NA,2,1,1,2
362,160,2535,1,1,post,700,1,NA,2,1,1,2
2767,0,0,0,0,post,151,0,NA,31,1,1,2
2882,9,23,1,1,post,349,0,NA,31,1,1,2
1080,1,0,0,1,post,537,0,NA,3,1,1,2
2200,6,0,0,1,post,500,0,NA,24,1,1,2
3371,0,0,0,0,post,357,0,NA,1,1,0,1
4806,0,0,0,0,post,370,0,NA,21,1,0,1
4897,8,10,1,1,post,520,1,NA,21,1,0,1
2040,0,0,0,0,post,134,0,NA,19,1,1,2
2836,0,0,0,0,post,280,0,NA,13,1,1,2
2372,0,0,0,0,post,184,0,NA,24,1,1,2
4928,1,0,0,1,post,183,1,NA,23,1,1,2
4384,0,0,0,0,post,393,0,NA,1,1,1,2
4885,0,0,0,0,post,103,1,NA,23,1,0,1
4931,1,0,0,1,post,148,1,NA,23,1,0,1
4900,0,0,0,0,post,137,1,NA,23,1,0,1
3906,0,0,0,0,post,171,0,NA,6,1,0,1
3924,0,0,0,0,post,299,0,NA,6,1,0,1
128,3,4,1,1,post,374,0,NA,2,1,1,2
3548,0,0,0,0,post,254,0,NA,1,1,1,2
1229,36,236,1,1,post,386,0,NA,3,1,1,2
2875,1,0,0,1,post,979,1,NA,31,1,1,2
4658,44,1218,1,1,post,1089,1,NA,22,1,1,2
3649,0,0,0,0,post,328,0,NA,1,1,0,1
3619,0,0,0,0,post,333,0,NA,1,1,0,1
117,4,0,0,1,post,407,0,NA,2,1,0,1
167,161,2539,1,1,post,620,0,NA,2,1,0,1
5096,0,0,0,0,post,205,1,NA,31,1,1,2
741,1,4,1,1,post,812,0,NA,2,1,1,2
125,160,2535,1,1,post,205,0,NA,2,0,1,1
2036,0,0,0,0,post,132,1,NA,19,1,0,1
3702,0,0,0,0,post,159,0,NA,1,1,0,1
2178,0,0,0,0,post,126,0,NA,19,1,1,2
4632,0,0,0,0,post,260,0,NA,29,1,1,2
1091,0,0,0,0,post,361,0,NA,3,1,1,2
1822,0,0,0,0,post,303,0,NA,19,1,1,2
